name,address,category,phone,latitude,longitude
우만동족발집 아주대점, 경기 수원시 팔달구 아주로27번길 10-20 1층,족발/보쌈,0507-1406-7066,,
뚱보아저씨수제돈까스 아주대점,경기 수원시 팔달구 아주로39번길 14 1층,돈까스,0507-1491-3111,,
한조카츠,경기 수원시 팔달구 중부대로239번길 78 1층,돈까스,031-213-6822,,
미스터쉐프 아주대본점,경기 수원시 팔달구 아주로47번길 16,한식,031-212-1884,,
미스사이공 아주대점,경기 수원시 팔달구 아주로47번길 22 1층,베트남음식,0507-1400-1616,,
도담도담치킨,경기 수원시 팔달구 월드컵로211번길 24 2층,치킨/닭강정,031-211-0330,,
한창희 천하일면 아주대점,경기 수원시 팔달구 아주로47번길 15 1층 104호,국수,0507-1428-8772,,
스파게티스토리,경기 수원시 팔달구 아주로47번길 6 2층,스파게티/양식,0507-1403-2970,,
밀플랜비 아주대점,경기 수원시 팔달구 아주로47번길 12 1층 밀플랜비,핫도그,031-213-6680,,
이번지 깡통집 아주대점,경기 수원시 영통구 월드컵로193번길 7,육류/고기요리,0507-1411-1116,,


